Atom,BondTo,BondValue,AngleTo,AngleValue,DihedralTo,DihValue
CH2CH2,,,,,,
CH2,1,0.161,,,,
NT,2,0.148,1,113.0,,
NT,2,0.148,1,113.0,3,NULL
CH2,3,0.148,1,113.0,2,NULL
CH2,3,0.148,1,113.0,5,35.26439
CH2,4,0.148,2,113.0,1,NULL
CH2,4,0.148,2,113.0,7,35.26439
CH2,5,0.161,3,113.0,1,NULL
C,9,0.161,5,113.0,3,NULL
O,10,0.125,9,122.0,5,NULL
CH2,6,0.161,3,113.0,1,NULL
C,12,0.161,6,113.0,3,NULL
O,13,0.125,12,122.0,6,NULL
CH2,7,0.161,4,113.0,2,NULL
C,15,0.161,7,113.0,4,NULL
O,16,0.125,15,122.0,7,NULL
CH2,8,0.161,4,113.0,2,NULL
C,18,0.161,8,113.0,4,NULL
O,19,0.125,18,122.0,8,NULL
N,10,0.134,9,116.0,11,0.0
H,21,0.10900000000000001,10,124.0,9,NULL
CH2,21,0.148,10,123.0,22,0.0
CH2,23,0.161,21,113.0,10,NULL
NT,24,0.148,23,113.0,21,NULL
CH2,25,0.148,24,113.0,23,NULL
CH2,25,0.148,24,113.0,26,35.26439
CH2,26,0.161,25,113.0,24,NULL
C,28,0.161,26,113.0,25,NULL
O,29,0.125,28,122.0,26,NULL
CH2,27,0.161,25,113.0,24,NULL
C,31,0.161,27,113.0,25,NULL
O,32,0.125,31,122.0,27,NULL
N,13,0.134,12,116.0,14,0.0
H,34,0.10900000000000001,13,124.0,12,NULL
CH2,34,0.148,13,123.0,35,0.0
CH2,36,0.161,34,113.0,13,NULL
NT,37,0.148,36,113.0,34,NULL
CH2,38,0.148,37,113.0,36,NULL
CH2,38,0.148,37,113.0,39,35.26439
CH2,39,0.161,38,113.0,37,NULL
C,41,0.161,39,113.0,38,NULL
O,42,0.125,41,122.0,39,NULL
CH2,40,0.161,38,113.0,37,NULL
C,44,0.161,40,113.0,38,NULL
O,45,0.125,44,122.0,40,NULL
N,16,0.134,15,116.0,17,0.0
H,47,0.10900000000000001,16,124.0,15,NULL
CH2,47,0.148,16,123.0,48,0.0
CH2,49,0.161,47,113.0,16,NULL
NT,50,0.148,49,113.0,47,NULL
CH2,51,0.148,50,113.0,49,NULL
CH2,51,0.148,50,113.0,52,35.26439
CH2,52,0.161,51,113.0,50,NULL
C,54,0.161,52,113.0,51,NULL
O,55,0.125,54,122.0,52,NULL
CH2,53,0.161,51,113.0,50,NULL
C,57,0.161,53,113.0,51,NULL
O,58,0.125,57,122.0,53,NULL
